ModelKey,ModelID
0.0,Unknown
1.4252200514331027e+19,ProLiant DL360 Gen10
3.5919407474125486e+18,ProLiant DL360 Gen10 Plus
8.623804074354514e+18,ProLiant DL360 Gen9
3.974028441303413e+18,ProLiant DL380 Gen10
7.397697892821142e+18,ProLiant DL380 Gen10 Plus
4.453068473741222e+18,ProLiant DL380 Gen11
9.524580141393482e+18,ProLiant DL380 Gen9
1.6168001117923497e+18,ProLiant DL380p Gen8
8.132360077388166e+17,ProLiant DL380 G9
1.648667494076687e+19,ProLiant DL380p Gen9
1.4803964003289782e+19,Virtual Machine
