Asset tag,Break/Fix Coverage Expiry,Break/Fix Service level,Break/Fix Service Provider,Building,Candidate for Currency,Candidate to Move to NY3,Class,Comments,Effective Date,Environment,Host name,iLO/RSA/HMC ip address,iLO/RSA/HMC Service Info,Install Date,IP Address,Is Virtual,Level 1 Support Group,Level 2 Support Group,Level 3 Support Group,Maintenance Window,Model ID,Operating System,OS Family,OS Status,OS Version,Project Change Notes,Serial number,SNow most recent discovery,State,Status(hardware status),Substate,TD Asset Application Code,Cabinet,Cage,CPU core count,CPU count,Disk space (GB),Logical CPUs,RU Start Position,Total Memory (MB)
B10935,,NA,Maintech,NY4,YES,YES,Linux Server,"Hardware: DL360 G10

# 2022/04/26 zhane42 - CHG0970757 - Cool Down ny4efxngldac01
# 2022/04/27 zhane42 - CHG0970759 - Server Decommission ny4efxngldac01..[last_DAC:EFXNG]
# 2022/05/04 mckays7 - Renamed to ny4optilda22

20220513 - mckays7 - CHG0978043 - Repurposed as ny4optilda22

2022.12.10 - MOTIEM2 \ LAMW2 - CHG1093304 relocate MXQ02503D7 ny4optilda22  from 8895-105 RU19 to 8235-104 RU25, same name & IPs",8/17/2020 7:00,DEV,ny4optilda22,10.225.33.89,ny4optilda22r.corp.tdsecurities.com,8/8/2020 7:00,10.225.16.83,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10,Linux Red Hat,Linux,New,7.9,EFXNG Project,MXQ02503D7,8/2/2025 17:19,In use,Installed,,OPTI,104,8235,28,2,32672.57,56,25,773497
MXQ3190771,5/23/2026 0:00,,HP Compaq,NY4,NO,YES,Linux Server,"20230714 - mckays7 - CHG1215130 - Built server nwgrpapvr01
- updated Appboxen
2024.03.27- tac8345 - updated to ""in use""
## 2025/02/21 – hewlec3 –RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX, and verified/confirm server support team Level 2 & 3",6/10/2023 9:00,DEV,nwgrpapvr01,10.225.33.29,nwgrpapvr01r.corp.tdsecurities.com,6/10/2023 9:00,10.225.56.6,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,New,8.1,2023.06.10 - CHG1193711 - rack and cable - LAMW2,MXQ3190771,8/2/2025 8:04,In use,Installed,,GRP,102,8235,16,2,,32,11,257103
B10561,,NA,Maintech,NY4,NO,YES,Linux Server,"2021.11.08 VERVIL6/Created as per TASK4282264
2021.03.12 - ny4tdsatlda107 - as per M. Wunder , moved from Cage8895:Cabinet106 RU39 to Cage8235:Cabinet102 RU8, no network cabled
2022.10.22 - LAMW2 - CHG1063131 cabled for new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda107 to ny4tdsatlda07 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

20230623 - mckays7 - CHG1201268 - Server was rebuilt after Hardware retrofit.",11/8/2021 15:15,DEV,ny4tdsatlda07,10.225.33.136,ny4tdsatlda07r.corp.tdsecurities.com,11/6/2021 12:00,10.225.16.179,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,n/a,MXQ1350KTF,8/2/2025 17:23,In use,Installed,,HDLDS,102,8235,40,2,36494.94,160,7,772906
B10562,,NA,Maintech,NY4,NO,YES,Linux Server,"2021.11.08 VERVIL6/Created as per TASK4282264
2021.03.12 - ny4tdsatlda108 - as per M. Wunder , moved from Cage8895:Cabinet106 RU33 to Cage8235:Cabinet102 RU7, no network cabled
2022.10.22 - LAMW2 - CHG1063131 cabled for new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda108 to ny4tdsatlda08 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

20230623 - mckays7 - CHG1201268 - Server was rebuilt after Hardware retrofit.

20250303 - mckays7 - RITM14032018 - TASK9688035 - Renamed ""Fully qualified domain name"" from ""ny4tdsatlda08.corp.tdsecurities.com.corp.tdsecurities.com"" to ""ny4tdsatlda08.corp.tdsecurities.com""",11/8/2021 15:41,DEV,ny4tdsatlda08,10.225.33.137,ny4tdsatlda08r.corp.tdsecurities.com,11/6/2021 12:00,10.225.16.180,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,n/a,MXQ1350KTJ,8/2/2025 17:20,In use,Installed,,HDLDS,102,8235,40,2,36494.94,160,8,772905
B10565,,NA,Maintech,NY4,NO,YES,Linux Server,"2022.04.21 VERVIL6/Created as per TASK5035678 (bulk upload); no Hostname yet.
2022.10.22 - LAMW2 - CHG1063131 cabled for new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda111 to ny4tdsatlda11 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

20230623 - mckays7 - CHG1201268 - Server was rebuilt after Hardware retrofit.",4/21/2022 8:42,DEV,ny4tdsatlda11,10.225.33.140,ny4tdsatlda11r.corp.tdsecurities.com,3/12/2022 12:00,10.225.16.183,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,"2022.04.21 - racked with power, no network",MXQ1350KSY,8/2/2025 17:22,In use,Installed,,HDLDS,102,8235,40,2,36494.94,160,6,772905
B10566,,NA,Maintech,NY4,NO,YES,Linux Server,"2022.04.21 VERVIL6/Created as per TASK5035678 (bulk upload); no Hostname yet.
2022.10.22 - LAMW2 - CHG1063131 cabled for new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda112 to ny4tdsatlda12 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

20230623 - mckays7 - CHG1201268 - Server was rebuilt after Hardware retrofit.",4/21/2022 10:36,DEV,ny4tdsatlda12,10.225.33.141,ny4tdsatlda12r.corp.tdsecurities.com,3/12/2022 12:00,10.225.16.184,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,"2022.04.21 - racked with power, no network",MXQ1350KSR,8/2/2025 17:23,In use,Installed,,HDLDS,102,8235,40,2,36494.94,160,5,772905
B10567,,NA,Maintech,NY4,NO,YES,Linux Server,"2022.04.21 VERVIL6/Created as per TASK5035678 (bulk upload); no Hostname yet.
2022.10.22 - LAMW2 - CHG1063131 cabled for new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda113 to ny4tdsatlda13 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

20230623 - mckays7 - CHG1201268 - Server was rebuilt after Hardware retrofit.",4/21/2022 10:41,DEV,ny4tdsatlda13,10.225.33.142,ny4tdsatlda13r.corp.tdsecurities.com,3/12/2022 12:00,10.225.16.185,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,"2022.04.21 - racked with power, no network",MXQ1350KSD,8/2/2025 17:22,In use,Installed,,HDLDS,102,8235,40,2,36494.94,160,4,772905
B10568,,NA,Maintech,NY4,NO,YES,Linux Server,"2022.04.21 VERVIL6/Created as per TASK5035678 (bulk upload); no Hostname yet.
2022.10.22 - LAMW2 - CHG1063131 cabled for new build
2022.11.17 - tab9241, Jude Xavier - Changed from ny4tdsatlda114 to ny4tdsatlda14 via TASK6016401

20230526 - mckays7 - Changed state to ""In use""

20230617 - mckays7 - CHG1200555 - Decommissioned servers for retrofitting for RAID hardware and re-installation
- Changed state from ""In use"" to ""In stock - Pending install""

20230623 - mckays7 - CHG1201268 - Server was rebuilt after Hardware retrofit.",4/21/2022 10:40,DEV,ny4tdsatlda14,10.225.33.143,ny4tdsatlda14r.corp.tdsecurities.com,3/12/2022 12:00,10.225.16.186,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,Active,8.1,"2022.04.21 - racked with power, no network",MXQ1350KSJ,8/2/2025 17:22,In use,Installed,,HDLDS,102,8235,40,2,36494.94,160,3,772905
A31574,8/11/2026 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"2024.03.23 - LAMW2 - CHG1369584 - repurpose MXQ33108PV trcvbmapp01 decom unrack from TR2-103,RU21 and relocate to NY4-8235-102,RU34 and build as ny4tdsatlda16
2024.03.28 - tac8345 - update to ""in use""
2024.04.01 - LAMW2 - update to ""pending install""
2024.04.06 – LAMW2 - CHG1378982 - ny4tdsatlda16 MXQ33108PV relocate from TR2 to NY4-8235-102,RU34 DEV

20240503 - mckays7 - CHG1384297 Built server
- updated Appboxen
- Updated state to ""In Use""

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",9/8/2023 12:00,DEV,ny4tdsatlda16,10.225.33.8,ny4tdsatlda16r.corp.tdsecurities.com,9/8/2023 7:46,10.225.16.188,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,New,8.1,"http://ibom.tdbfg.com/website/HLOverview.aspx?ProjectID=36095 > CVBM
https://ibom.tdbfg.com/website/HLOverview.aspx?ProjectID=34905 > TDSAT \ HDLDS",MXQ33108PV,8/2/2025 17:22,In use,Installed,,HDLDS,102,8235,16,2,,64,34,257095
A31575,10/14/2024 0:00,HP Base HW,HP Compaq,NY4,NO,YES,Linux Server,"It was moved on this location on 9/23/2022 - Locatin DRT2318 RU 5
2024.11.02 - LAMW2 - CHG1514923 - serial MXQ1350KSG old  ch-l-prod014 relocated from DRT-Chicago to NY4 and repurpose as ny4tdsatlda22

20241122 - mckays7 - CHG1537037 - Server build

2025/02/28 -  mckays7-  RITM13952347 - Update OS Patch Details tab to reflect current support team to TDSGI-UNIX",9/19/2022 19:40,DEV,ny4tdsatlda22,10.225.33.148,ny4tdsatlda22r.corp.tdsecurities.com,10/31/2024 9:00,10.225.61.70,FALSE,ITS-EITO-Enterprise Environment Surveillance,TDSGI-UNIX,TDSGI-UNIX,,ProLiant DL360 Gen10 Plus,Linux Red Hat,Linux,New,8.1,TDSAT,MXQ1350KSG,8/2/2025 8:09,In use,Installed,,HDLDS,102,8235,40,2,,160,35,772909
